datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,tie_line,actual_flow,sched_flow,inadv_flow
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,AEP-C,0.0,0.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,AEP-P,0.0,0.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,ALEX,0.0,0.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,ALTE,-1031.0,85.0,-1116.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,ALTW,-102.0,0.0,-102.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,ALWX,0.0,0.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,AMIL,1011.0,116.0,895.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,APS,0.0,0.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,CIN,-558.0,0.0,-558.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,CPLE,800.0,0.0,800.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,CPLW,-271.0,0.0,-271.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,CWLP,-89.0,0.0,-89.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,DUK,-347.0,-121.0,-226.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,FE,0.0,0.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,HUDS,-145.0,-145.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,IPL,120.0,-600.0,720.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,LAGN,0.0,1014.0,-1014.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,LGEE,290.0,250.0,40.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,LIND,-240.0,-240.0,0.0
2014-07-11 04:00:00,2014-07-11 00:00:00,2014-07-11 05:00:00,2014-07-11 01:00:00,MEC,-106.0,-640.0,534.0
